red beard 1968,akira kurosawa,drama
the hustler 1961,robert rossen,"drama, sport"
hit the road 2022,panah panahi,drama
l.a. confidential 1997,curtis hanson,"drama, mystery, thriller, crime"
procession 2021,robert greene,documentary
bloody sunday 2002,paul greengrass,"drama, history, war"
my voyage to italy 2001,martin scorsese,documentary
phantom thread 2017,paul thomas anderson,"drama, romance, crime"
goodfellas 1990,martin scorsese,"biography, drama, crime"
wojnarowicz 2021,chris mckim,documentary
paths of the soul 2016,yang zhang,drama
it's such a beautiful day 2012,don hertzfeldt,"sci-fi, drama, fantasy, comedy, animation"
my perestroika 2011,robin hessman,"biography, history, family, documentary, news"
this is not a film 2012,"jafar panahi, mojtaba mirtahmasb",documentary
the birds 1963,alfred hitchcock,"drama, mystery, horror, romance"
to have and have not 1945,howard hawks,"adventure, thriller, comedy, romance, war, film-noir"
finding nemo 2003,"andrew stanton, lee unkrich","adventure, comedy, animation, family"
topsy-turvy 1999,mike leigh,"biography, drama, comedy, music"
samurai rebellion 1967,masaki kobayashi,drama
king kong 1933,"ernest b. schoedsack, merian c. cooper","adventure, sci-fi, horror"
small axe: mangrove 2020,steve mcqueen,drama
the incredibles 2004,brad bird,"action, adventure, animation, family"
before sunset 2004,richard linklater,"drama, romance"
being john malkovich 1999,spike jonze,"drama, fantasy, comedy, romance"
a prophet 2010,jacques audiard,"drama, crime"
hard to be a god 2015,aleksei german,"sci-fi, drama"
almost famous 2000,cameron crowe,"drama, music"
high and low 1963,akira kurosawa,"drama, mystery, thriller, crime"
paths of glory 1957,stanley kubrick,"drama, war"
cold war 2018,pawel pawlikowski,"drama, romance, music"
big men 2014,rachel boynton,documentary
american splendor 2003,"robert pulcini, shari springer berman","biography, drama, comedy"
hannah and her sisters 1986,woody allen,"drama, comedy, romance"
the circus 1929,charles chaplin,"comedy, romance"
lost in translation 2003,sofia coppola,"drama, romance"
the tale 2018,jennifer fox,"drama, mystery, thriller"
licorice pizza 2021,paul thomas anderson,"drama, comedy"
paterson 2016,jim jarmusch,"drama, comedy, romance"
gosford park 2001,robert altman,"drama, mystery, comedy"
the fits 2016,anna rose holmer,drama
the souvenir: part ii 2021,joanna hogg,"drama, romance"
mad max: fury road 2015,george miller,"action, adventure, sci-fi, thriller"
united 93 2006,paul greengrass,"drama, history, crime"
capturing the friedmans 2003,andrew jarecki,"biography, mystery, crime, documentary"
the truman show 1998,peter weir,drama
american hustle 2013,david o. russell,"drama, history, thriller, crime"
blue is the warmest color 2013,abdel kechiche,"drama, romance"
star wars: episode iv - a new hope 1977,george lucas,"action, adventure, sci-fi, fantasy"
persepolis 2007,"marjane satrapi, vincent paronnaud","biography, drama, war, animation"
the age of innocence 1993,martin scorsese,"drama, romance"
once 2007,john carney,"drama, romance, music"
first cow 2020,kelly reichardt,drama
the best of youth 2005,marco tullio giordana,"drama, romance"
the overnighters 2014,jesse moss,"drama, documentary"
the lives of others 2006,florian henckel von donnersmarck,"drama, thriller"
two-lane blacktop 1971,monte hellman,drama
house of flying daggers 2004,yimou zhang,"action, adventure, drama, fantasy, romance"
63 up 2019,michael apted,documentary
minding the gap 2018,bing liu,documentary
treasure island 1950,byron haskin,"adventure, family"
searching for bobby fischer 1993,steven zaillian,"biography, drama"
hamilton 2020,thomas kail,"biography, drama, history, musical"
national gallery 2014,frederick wiseman,"history, documentary"
assault on precinct 13 1976,john carpenter,"action, thriller, crime"
man on wire 2008,james marsh,"crime, documentary"
three minutes: a lengthening 2022,bianca stigter,documentary
for sama 2019,"edward watts, waad al-khateab",documentary
force of evil 1949,abraham polonsky,"drama, crime, film-noir"
the hidden fortress 1960,akira kurosawa,"adventure, drama"
still walking 2009,hirokazu koreeda,drama
gangs of wasseypur 2015,anurag kashyap,"action, drama, thriller, crime"
the last detail 1973,hal ashby,"drama, comedy"
when the levees broke: a requiem in four acts 2006,spike lee,documentary
borat: cultural learnings of america for make benefit glorious nation of kazakhstan 2006,larry charles,comedy
